                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1627,                 2.5543,                 1.4704,                0.00579,                0.89606,                0.50121,                0.36671,                0.60769,                  2.857,                 1.1891,                0.00016,                0.00016,                0.00016
                      2,                0.77537,                 1.5695,                 1.2112,                0.60975,                0.39202,                0.58371,                0.43724,                 0.7901,                 2.3938,                 1.4136,             0.00033327,             0.00033327,             0.00033327
                      3,                0.81001,                 1.2663,                 1.2131,                0.73018,                0.50438,                0.60701,                0.41055,                 1.4435,                 2.5804,                 1.8248,             0.00049941,             0.00049941,             0.00049941
                      4,                0.83495,                 1.1804,                 1.2522,                0.71164,                0.67384,                0.68254,                0.44358,                 1.1327,                 2.1356,                 1.5938,             0.00065842,             0.00065842,             0.00065842
                      5,                0.79522,                 1.0964,                 1.1979,                0.73508,                0.64644,                0.68298,                0.47931,                0.96535,                 2.1556,                 1.5019,              0.0008103,              0.0008103,              0.0008103
                      6,                 0.8463,                 1.1321,                 1.2132,                0.76214,                0.56989,                0.68244,                 0.4868,                0.98296,                 1.9301,                 1.6388,             0.00095506,             0.00095506,             0.00095506
                      7,                 0.8285,                 1.0336,                 1.2062,                0.66239,                0.58065,                0.61836,                0.42746,                 1.3906,                 2.0788,                 2.0147,              0.0010927,              0.0010927,              0.0010927
                      8,                0.84721,                 1.0563,                 1.2221,                0.64914,                0.64516,                0.66244,                0.37472,                  1.647,                 2.0758,                 2.2308,              0.0012232,              0.0012232,              0.0012232
                      9,                0.89695,                  1.039,                 1.2688,                0.58105,                 0.6512,                0.61412,                 0.3271,                 1.4111,                 2.2199,                 1.7905,              0.0013466,              0.0013466,              0.0013466
                     10,                0.84546,                0.96713,                 1.2438,                0.61673,                0.48029,                0.50046,                0.24479,                 1.9377,                   2.62,                 2.2075,              0.0014628,              0.0014628,              0.0014628
                     11,                0.80996,                0.89115,                 1.2178,                0.54663,                0.62007,                0.59976,                0.32827,                 1.3297,                 2.0969,                 1.7144,              0.0015719,              0.0015719,              0.0015719
